R,P,region,max_rbm_residual,mean_rbm_residual
15,72,mature upper,2.148468e-06,1.95236525e-06
15,73,mature upper,2.214591e-06,1.93567225e-06
15,74,mature upper,2.149992e-06,1.90359e-06
15,75,mature upper,2.266866e-06,1.9284650000000003e-06
15,76,mature upper,2.096349e-06,1.8491805e-06
15,77,mature upper,2.263346e-06,1.93281475e-06
15,78,mature upper,2.26876e-06,1.9678582499999998e-06
15,79,mature upper,2.194266e-06,1.977245e-06
15,80,mature upper,2.208744e-06,1.9062312500000001e-06
15,81,mature upper,2.188528e-06,1.8710817499999998e-06
15,82,mature upper,2.228159e-06,1.929542e-06
15,83,mature upper,2.257155e-06,1.97866175e-06
15,84,mature upper,2.197059e-06,1.9725187500000002e-06
15,85,mature upper,2.17113e-06,1.90463375e-06
15,86,mature upper,2.237455e-06,1.8925102500000002e-06
15,87,mature upper,2.200933e-06,1.9507595e-06
15,88,mature upper,2.124604e-06,1.9140864999999998e-06
14,43,first lower,0.000506,0.00048249999999999996
14,42,second lower,1.997404e-06,1.95473725e-06
14,41,mature lower,1.928692e-06,1.8009285e-06
14,40,mature lower,2.319934e-06,2.01358575e-06
14,39,mature lower,2.301358e-06,1.9939055e-06
14,38,mature lower,2.324105e-06,1.9532202499999998e-06
14,37,mature lower,2.173901e-06,1.8544205e-06
14,36,mature lower,2.214717e-06,1.9075242499999996e-06
14,35,mature lower,2.179896e-06,1.974863e-06
14,34,mature lower,2.225836e-06,1.93948675e-06
14,33,mature lower,2.226031e-06,1.95067475e-06
14,32,mature lower,2.141688e-06,1.9208457499999996e-06
14,31,mature lower,2.134547e-06,1.8487875e-06
14,30,mature lower,2.123855e-06,1.8515052500000002e-06
14,29,mature lower,2.150654e-06,1.9439095e-06
14,28,mature lower,2.152166e-06,1.9437014999999996e-06
14,27,mature lower,2.232424e-06,1.94778225e-06
14,26,mature lower,2.249238e-06,1.86427675e-06
14,25,mature lower,2.208935e-06,1.9242205e-06
14,24,mature lower,2.172153e-06,1.91882625e-06
14,23,mature lower,2.163128e-06,1.9198649999999997e-06
14,22,mature lower,2.157397e-06,1.9008700000000001e-06
14,21,mature lower,2.170061e-06,1.95503e-06
14,20,mature lower,2.245538e-06,1.952555e-06
14,19,mature lower,2.188873e-06,1.9461965e-06
14,18,mature lower,2.170869e-06,1.8773834999999999e-06
14,17,mature lower,2.214732e-06,1.8721642500000002e-06
14,16,mature lower,2.210827e-06,1.90241175e-06
14,15,mature lower,2.177327e-06,1.9151919999999997e-06
14,14,mature lower,2.22451e-06,1.9064324999999998e-06
14,13,mature lower,2.146839e-06,1.8988700000000002e-06
14,12,mature lower,2.155921e-06,1.90207e-06
14,11,mature lower,2.269664e-06,1.9671145e-06
14,10,mature lower,2.170506e-06,1.8597115e-06
14,9,mature lower,2.234137e-06,1.932834e-06
14,8,mature lower,2.220962e-06,1.94928775e-06
14,7,mature lower,2.208356e-06,1.91674575e-06
14,6,mature lower,2.196598e-06,1.9008087499999998e-06
14,5,mature lower,2.205407e-06,1.888474e-06
14,4,mature lower,2.168052e-06,1.931347e-06
14,3,mature lower,2.273182e-06,1.96613175e-06
14,2,mature lower,2.213564e-06,1.8842609999999999e-06
14,1,mature lower,2.097181e-06,1.8732847500000003e-06
14,0,mature lower,2.090421e-06,1.8504925e-06
14,45,first upper,0.000506,0.00048249999999999996
14,46,second upper,1.997401e-06,1.9547375e-06
14,47,mature upper,1.928698e-06,1.80093475e-06
14,48,mature upper,2.319938e-06,2.01358525e-06
14,49,mature upper,2.301367e-06,1.9939117499999997e-06
14,50,mature upper,2.324106e-06,1.95319775e-06
14,51,mature upper,2.173927e-06,1.85441825e-06
14,52,mature upper,2.21473e-06,1.9075515e-06
14,53,mature upper,2.179881e-06,1.97490975e-06
14,54,mature upper,2.225829e-06,1.9394805e-06
14,55,mature upper,2.226272e-06,1.9507449999999996e-06
14,56,mature upper,2.141779e-06,1.92091225e-06
14,57,mature upper,2.134379e-06,1.84889325e-06
14,58,mature upper,2.124871e-06,1.851985e-06
14,59,mature upper,2.151223e-06,1.94417475e-06
14,60,mature upper,2.151455e-06,1.944103e-06
14,61,mature upper,2.232205e-06,1.9473685e-06
14,62,mature upper,2.25015e-06,1.8643045e-06
14,63,mature upper,2.210578e-06,1.92479525e-06
14,64,mature upper,2.176551e-06,1.92019525e-06
14,65,mature upper,2.159353e-06,1.91929625e-06
14,66,mature upper,2.157629e-06,1.90034e-06
14,67,mature upper,2.169648e-06,1.9512652500000002e-06
14,68,mature upper,2.245056e-06,1.94991025e-06
14,69,mature upper,2.189124e-06,1.94638225e-06
14,70,mature upper,2.169134e-06,1.8773660000000001e-06
14,71,mature upper,2.215512e-06,1.8719644999999998e-06
14,72,mature upper,2.212067e-06,1.9035995e-06
14,73,mature upper,2.181345e-06,1.9144785e-06
14,74,mature upper,2.221299e-06,1.9087827499999997e-06
14,75,mature upper,2.145546e-06,1.8982662499999999e-06
14,76,mature upper,2.153954e-06,1.9030705000000002e-06
14,77,mature upper,2.26782e-06,1.966108e-06
14,78,mature upper,2.172963e-06,1.8608935e-06
14,79,mature upper,2.236284e-06,1.9353245000000003e-06
14,80,mature upper,2.228885e-06,1.9599520000000002e-06
14,81,mature upper,2.207384e-06,1.9244155e-06
14,82,mature upper,2.206864e-06,1.91833875e-06
14,83,mature upper,2.199688e-06,1.8668037500000001e-06
14,84,mature upper,2.182517e-06,1.8958639999999998e-06
14,85,mature upper,2.244529e-06,1.93490625e-06
14,86,mature upper,2.207477e-06,1.8658475000000001e-06
14,87,mature upper,2.097856e-06,1.8688467499999998e-06
14,88,mature upper,2.201724e-06,1.9009807500000001e-06
13,43,first lower,0.000503,0.0004805
13,42,second lower,2.237546e-06,2.156505e-06
13,41,mature lower,1.995761e-06,1.8192104999999999e-06
13,40,mature lower,2.300435e-06,1.97918475e-06
13,39,mature lower,2.244654e-06,2.01873375e-06
13,38,mature lower,2.20578e-06,1.9233629999999997e-06
13,37,mature lower,2.005562e-06,1.86605325e-06
13,36,mature lower,2.152427e-06,1.78570675e-06
13,35,mature lower,2.176219e-06,1.84145275e-06
13,34,mature lower,2.205294e-06,1.94537225e-06
13,33,mature lower,2.110697e-06,1.904007e-06
13,32,mature lower,2.087882e-06,1.868269e-06
13,31,mature lower,2.142243e-06,1.88936525e-06
13,30,mature lower,2.169848e-06,1.8613120000000002e-06
13,29,mature lower,2.193165e-06,1.8917485e-06
13,28,mature lower,2.204262e-06,1.938836e-06
13,27,mature lower,2.198946e-06,1.92189775e-06
13,26,mature lower,2.157171e-06,1.907667e-06
13,25,mature lower,2.143747e-06,1.8323595e-06
13,24,mature lower,2.199754e-06,1.8879845e-06
13,23,mature lower,2.158587e-06,1.9189359999999997e-06
13,22,mature lower,2.17402e-06,1.9085655e-06
13,21,mature lower,2.17784e-06,1.8496437500000001e-06
13,20,mature lower,2.151354e-06,1.8789905e-06
13,19,mature lower,2.173792e-06,1.87471375e-06
13,18,mature lower,2.116971e-06,1.86343475e-06
13,17,mature lower,2.151105e-06,1.93126025e-06
13,16,mature lower,2.215833e-06,1.953401e-06
13,15,mature lower,2.204205e-06,1.89031925e-06
13,14,mature lower,2.197329e-06,1.8279104999999999e-06
13,13,mature lower,2.192255e-06,1.92935425e-06
13,12,mature lower,2.172449e-06,1.9122725e-06
13,11,mature lower,2.207682e-06,1.94144975e-06
13,10,mature lower,2.17272e-06,1.9166195e-06
13,9,mature lower,2.138378e-06,1.9035865e-06
13,8,mature lower,2.229036e-06,1.924188e-06
13,7,mature lower,2.182641e-06,1.9304275e-06
13,6,mature lower,2.298807e-06,1.9668344999999997e-06
13,5,mature lower,2.147829e-06,1.92919325e-06
13,4,mature lower,2.212726e-06,1.86070475e-06
13,3,mature lower,2.185618e-06,1.8718547499999998e-06
13,2,mature lower,2.263592e-06,1.8809877500000001e-06
13,1,mature lower,2.227841e-06,1.91220425e-06
13,0,mature lower,2.130682e-06,1.8409945000000002e-06
13,45,first upper,0.000503,0.0004805
13,46,second upper,2.237554e-06,2.15650525e-06
13,47,mature upper,1.995757e-06,1.8192107500000001e-06
13,48,mature upper,2.300435e-06,1.97918575e-06
13,49,mature upper,2.244656e-06,2.01873475e-06
13,50,mature upper,2.205783e-06,1.923367e-06
13,51,mature upper,2.005531e-06,1.86607375e-06
13,52,mature upper,2.152395e-06,1.78576975e-06
13,53,mature upper,2.176182e-06,1.8414825000000001e-06
13,54,mature upper,2.205351e-06,1.94565575e-06
13,55,mature upper,2.110522e-06,1.9039437500000002e-06
13,56,mature upper,2.08781e-06,1.868068e-06
13,57,mature upper,2.143228e-06,1.88957625e-06
13,58,mature upper,2.168788e-06,1.8611465e-06
13,59,mature upper,2.193177e-06,1.8916665e-06
13,60,mature upper,2.204598e-06,1.9390337500000002e-06
13,61,mature upper,2.196066e-06,1.92132375e-06
13,62,mature upper,2.15529e-06,1.90614775e-06
13,63,mature upper,2.136553e-06,1.8317545e-06
13,64,mature upper,2.193178e-06,1.8876394999999999e-06
13,65,mature upper,2.161699e-06,1.919139e-06
13,66,mature upper,2.168819e-06,1.90841225e-06
13,67,mature upper,2.176857e-06,1.8508525e-06
13,68,mature upper,2.154551e-06,1.87984875e-06
13,69,mature upper,2.184201e-06,1.8792882499999999e-06
