R,P,region,rbm_cycles,baseline_cycles,cycle_speedup,cycle_saved,rbm_time_s,baseline_time_s,time_speedup,time_saved_s,max_abs_energy_diff
1,17,mature lower,17,85,5.0,68,1.45,15.799999999999999,10.89655172413793,14.35,1.3394840792102514e-13
1,18,mature lower,18,85,4.722222222222222,67,1.51,16.0,10.596026490066226,14.49,1.0472178679776789e-13
1,19,mature lower,17,85,5.0,68,1.42,15.7,11.056338028169014,14.28,1.249000902703301e-13
1,20,mature lower,18,85,4.722222222222222,67,1.49,16.0,10.738255033557047,14.51,1.4180323582024812e-13
1,21,mature lower,19,85,4.473684210526316,66,1.5599999999999998,15.799999999999999,10.128205128205128,14.239999999999998,1.5751289161869408e-13
1,22,mature lower,18,85,4.722222222222222,67,1.51,16.099999999999998,10.662251655629138,14.589999999999998,2.2754020889692583e-13
1,23,mature lower,17,85,5.0,68,1.42,16.099999999999998,11.338028169014084,14.679999999999998,1.6700529847923917e-13
1,24,mature lower,17,85,5.0,68,1.45,15.399999999999999,10.620689655172413,13.95,1.6411871861521377e-13
1,25,mature lower,18,85,4.722222222222222,67,1.52,16.0,10.526315789473685,14.48,1.5315526624704034e-13
1,26,mature lower,18,85,4.722222222222222,67,1.51,16.5,10.927152317880795,14.99,1.7397194795876203e-13
1,27,mature lower,18,85,4.722222222222222,67,1.47,15.1,10.272108843537415,13.629999999999999,1.9700907571973403e-13
1,28,mature lower,17,85,5.0,68,1.43,15.7,10.979020979020978,14.27,1.8848811400573595e-13
1,29,mature lower,17,85,5.0,68,1.45,16.099999999999998,11.103448275862068,14.649999999999999,1.8576806759540432e-13
1,30,mature lower,17,85,5.0,68,1.45,16.3,11.24137931034483,14.850000000000001,1.5124013152956195e-13
1,31,mature lower,18,85,4.722222222222222,67,1.49,15.799999999999999,10.604026845637582,14.309999999999999,2.1024848528838902e-13
1,32,mature lower,17,85,5.0,68,1.45,15.299999999999999,10.551724137931034,13.85,1.6112111644872584e-13
1,33,mature lower,18,85,4.722222222222222,67,1.52,15.2,10.0,13.68,1.504352198367087e-13
1,34,mature lower,19,85,4.473684210526316,66,1.5899999999999999,15.5,9.748427672955975,13.91,2.26929586233382e-13
1,35,mature lower,18,85,4.722222222222222,67,1.54,16.599999999999998,10.779220779220777,15.059999999999999,1.2714829189519605e-13
